label,Star Rating,Sentences
Galaxy Core,5,"09 JULY 13
      
      CERTIFIED BUYER
      
      SHOCKED BY LOW REVIEWS
      
      IT IS A VERY GOOD PHONE, ALMOST ALL EXPERT REVIEWS SAYS IT. I DONT UNDERSTAND WHY PEOPLE COMPARE IT TO OTHER WHILE WRITING REVIEWS.
      
      FOCUS ON THE PHONE'S PERFORMANCE.
      
      1. 1.2 GHZ DUAL CORE GIVES GOOD PERFORMANCE, EVEN IN HIGH QUALITY GAMES.
      
      2. 1GB RAM IS A GOOD DEAL WHEN IT COMES TO GAMING AND RUNNING APPLICATIONS.
      
      3. SCREEN SIZE IS GOOD, LOWER THAN GRAND, BUT HIGH THAN S DUOS.
      
      4. GOOD GPU AND SCREEN RESOLUTION. EVEN PLAYS TEMPLE RUN 2 WITHOUT LAG.
      
      5. 5MP CAM IS ALSO GOOD, PEOPLE WHO SAY ITS VERY LOW, EXCUSE PLEASE, IF YOU WANT TO TAKE PROFESSIONAL QUALITY PHOTOS, HAVE A CAM. STILL PHOTO QUALITY IS VERY NICE.
      
      6. INTERFACE IS GOOD.
      
      7. ANDROID JELLY BEAN 4.1 IS AMAZING.
      
      8. HAVE ACCELEROMETER AND COMPASS.
      
      9. PHONE TURNS OFF SCREEN WHEN USER IS NOT VIEWING IT, THUS SAVES BATTERY.
      
      10. 1800 MAH BATTERY IS BETTER THAN NOKIA LUMIA'S 1300 MAH EVEN.
      
      11. FRONT CAM ALSO THERE.
      
      
      I HAVE FOUND THE PHONE GOOD. BUT IF YOU WANT MORE, SPEND SOME MORE BUCKS AND BUY AND SAMSUNG GALAXY S4, AND COMPARE THAT WITH ALL OTHER PHONES.
      
      
      PRICE IS A ISSUE, IT SHUD HAVE BEEN PLACED AROUND 13000, IN 15000 OR MORE, SAMSUNG SHUD GIVE SUPER AMOLDED DISPLAY."
Galaxy Core,5,"A GREAT MODEL BY SAMSUNG FOR YOUNGSTERS. THIS IS THE PHONE WITH LOW COST AND HIGH TECH SPEC.
      
      1.SOME PERSON TALKING ABOUT HANGING.
      
      IF YOU OPEN MANY APPS WHICH USING INTERNET OF 2G DATA PACK, IT IS OBVIOUS.
      
      2. BATTERY
      
      I DON'T FIND ANY ISSUES IN THIS SECTION. IF SOMEBODY IS COMPLAINING THEN HE IS NOT ELIGIBLE TO USE SMARTPHONES.
      
      3. TALKING ABOUT LOW SOUND
      
      SOUND IS GOOD BUT IF YOU EXPECT SOUND LIKE CHINA MOBILE THEN YOU ARE FOOL.
      
      (EXPECTING LOUD SOUND WITH GOOD BATTERY &AMP; ANDROID JELLYBEAN AMAZING., HAHAHA)"
Galaxy Core,5,"AM USING THIS FONE SINCE 6 MONTHS,IT RUNS SO FAST AND WORKS SO SMOOTHLY...I'LL RECOMMEND DONT BOTHER AND GO FOR IT."
Galaxy Core,5,"AS I THOUGHT ABOUT IT, I GOT ALL THAT IN IT. AMAZING SPEED, GOOD CONFIGURATION AND BEST OPTION IN IT'S PRICE RANGE. AGAIN SAMSUNG AS A BIG AND GOOD BRAND IN RESPECT OF MICROMAX, LAVA AND OTHER CHEAP CHINESE MADE OPTIONS, IT'S A REALLY GOOD BUY. NO NEED TO SAY ABOUT FB DELIVERY, I GOT THE PHONE IN TIME AS EXPECTED. SO THANKS TO FB ALSO FOR IT BUT THE PRICE WAS SLIGHTLY HIGH THAN THE MARKET RATE WHICH I COMPARED LATELY.
      
      
      THE GOOD THING ALSO ABOUT THE PHONE WAS, I GOT 2 MONTHS FREE 3G DATA PLAN WITH IT WITH THE LIMIT OF 2.5GB PER MONTH USAGE. AND THE PHONE GIVES AMAZING PERFORMANCE IN 3G IN BROWSING AND WATCHING VIDEOS."
Galaxy Core,5,"BATTERY BACK UP IS GOOD IT COMES AROUND ONE AND HALF DAYS, SCREEN SIZE IS NICE, NET SPEED ALSO NICE, COMPARE TO GRAND HANDLING IS VERY EASY.... OVERALL ITS AN DECENT ANDROID PHONE...."
Galaxy Core,5,"EVERY ONLINE PURCHASE OF PRODUCT REQUIRES 3 COMBINATIONS, IF THESE 3 BRIDGED THEN ONLINE SHOPPING IS A PLEASANT ONE. THE SELLER, THE QUALITY PRODUCT, AND THE DELIVERY. WS RETAILER AND FLIPKART ALWAYS THE BEST IN THEIR PROFESSION. WS'S GENUINE PRODUCT AND FLIPKART'S EXPRESS DELIVERY VERY IMPRESSIVE. ABOUT THE PRODUCT THIS ONE IS BEST IN ITS SERIES, AMBLE RAM, PERFECT OS, AND DISPLAY PERFECT, EASY TO HANDLE."
Galaxy Core,5,"EXCELLENT PHONE WITH VALUE FOR YOUR MONEY.
      
      GOT GOOD DEAL AND UNEXPECTEDLY EXCELLENT DELIVERY ON TIME WITHIN A DAY."
Galaxy Core,5,"FLIPCART DELIVERY WAS EXCELLENT
      
      INFACT IT IS THE BEST
      
      HOWEVER I FIND AMAZON ALSO OFFERING VERY GOOD DEALS. AT TIMES BETTER THAN FLIPCART"
Galaxy Core,5,"FOLKS MY RECOMMENDATION FOR ALL WHO WANT A GOOD PHONE WITH LOW BUDGET AND YET WANT TO ENJOY THE FEATURES OF HIGH END PHONE... GO FOR SAMSUNG GALAXY CORE. I CHECKED OUT A GOOD NUMBER OF PHONES FROM SAMSUNG, SONY, HUAWEI, ZOLO, MICROMAX AND FINALLY DECIDED ON SAMSUNG GALAXY CORE AS MY BUDGET WAS 10-12K. I HAVE TESTED IT IN ALL ASPECTS USED INTERNET IN 3G AND EDGE AND PLAYED SOME HEAVY GAMES LIKE TEMPLE RUN AND SUBWAY SURFERS. ITS WORKS LIKE BREEZE... NO DELAYS NO HANG ..ITS WORKING PERFECTLY GREAT. THE ONLY ISSUE WITH IT WAS THE VOLUME OF THE SPEAKER IS LOW BUT IF ONE CAN USE THE RIGHT KIND OF AUDIO ENDODING OR AUDIO/VIDEO PLAYERS THEN THIS LOW VOLUME ISSUE GETS SORTED OUT. I HAD THIS PROBLEM INITIALLY BUT NOW I HAVE INSTALLED SOME APT AUDIO VIDEO PLAYERS WHICH GIVE ME GOOD VOLUME."
Galaxy Core,5,"GALAXY CORE IS ANOTHER AWESOME PRODUCT FROM SAMSUNG, FEATURES ARE GOOD. SCREEN RESOLUTION IS GOOD, PHONE PERFORMANCE IS VERY NICE. VIDEO CAMERA QUALITY IS NOT THAT MUCH GOOD.OVER ALL NICE BUDGET SMART PHONE FROM SAMSUNG.DELIVERED THE PRODUCT WITH IN 2 DAYS WITH GR8 PACKING THANKS FLIPKART."
